,0,1,2,pH
0,7754.828526630695,146.4933033499572,1890.4830496153702,3.65
1,12796.586997091523,147.83902286775708,1950.50594140832,3.65
2,18094.785369496076,92.40865498955999,1987.574475466717,3.65
3,22939.063012127168,88.81834000060256,1989.021653909156,3.65
4,4657.282019906487,-96.1733827646535,1902.277012102984,3.65
5,-1916.7207682114908,-456.52482168558925,1698.781240328975,3.65
6,-6171.266285894884,-525.7845443413753,1609.7669379735405,3.65
7,-11295.124018207776,-665.7432092213793,1580.0800103462377,3.65
8,-16975.59250352878,-666.892801727652,1551.9125136001414,3.65
9,-22120.522522442418,-851.8076393132243,1521.323758842108,3.65
10,-23616.495436156376,-1110.2334647873158,821.6076023468405,3.64
11,-19237.005516093122,-1102.3300519105492,894.5860104575944,3.64
12,-16154.816894441665,-1203.5073022781658,902.1353447210133,3.64
13,-10822.450040582904,-1073.3170512077427,964.6290339850038,3.64
14,-8182.161605532433,-944.0984918043748,1000.44509430996,3.64
15,-2640.2037730720212,-939.5504860664878,1063.4462358472538,3.64
16,2768.124908648094,-867.0668751368015,1090.2361821184293,3.64
17,12172.17366356826,-806.6005997157237,1200.583752988387,3.64
18,17371.375654249496,-869.2261969033877,1208.5118711432149,3.64
19,24609.540641181542,-790.687124567572,1297.897092833166,3.64
20,3214.8811410104204,-1065.461943842129,414.82168049724146,3.63
21,5321.5755038961115,-1115.976742088878,486.35067317273683,3.63
22,8778.154009486194,-1257.5786926354135,480.62803022429847,3.63
23,16583.641267295585,-1186.4044321509318,505.8742430322139,3.63
24,20867.28601581325,-1038.4669334404011,635.1596489523546,3.63
25,-12137.896028749707,-984.7761277689958,377.1734830892964,3.63
26,-18858.035826122024,-983.9485245034081,294.23148486948276,3.63
27,-22862.60456599925,-1092.2634009692676,235.49975723663093,3.63
28,-14382.550506544008,-1229.0959511482536,223.5654516442961,3.63
29,-4742.618105860759,-1260.496015196692,382.7142615031005,3.63
30,22595.126239310513,149.809218767968,599.5682762892135,3.62
31,20495.53071468776,-111.54082908742306,528.5917798389418,3.62
32,16659.473138176898,-300.0085995838636,475.45514214837146,3.62
33,12048.593775658275,-404.9149293411814,446.1693153215687,3.62
34,6368.404502264409,-569.4302320098237,380.45925997296524,3.62
35,-320.74231363387713,-706.8792799229071,263.5551484366693,3.62
36,-5150.943480161806,-652.2359240694611,265.7739146460654,3.62
37,-10532.244787849386,-955.6127289270378,100.61063090894379,3.62
38,-17800.77751422556,-986.7781939987717,70.58860492386744,3.62
39,-19393.410281082644,-1136.5952176187943,18.9149414803501,3.62
40,-24120.475901050333,-1534.8154723245361,-479.14814271205904,3.61
41,-20043.828725556094,-1667.20415861156,-517.5638665618661,3.61
42,-17667.490353653004,-1820.047027027621,-514.4066425656806,3.61
43,-13473.844412660821,-1815.694823601737,-537.2133659989784,3.61
44,-8256.744405965417,-2093.8150086621426,-618.4956551376313,3.61
45,-1215.7483352510221,-1990.7083660483083,-408.77152536940434,3.61
46,5456.592665777749,-2137.2759888714127,-459.0148212427597,3.61
47,13112.452579840747,-1984.620763875192,-324.2101872568622,3.61
48,16551.67281304936,-2245.869448348998,-410.245337400965,3.61
49,21173.614716094875,-2359.0701538774388,-337.4238527406339,3.61
50,23967.93868681198,1046.2043877447074,604.9689215729314,3.6
51,15142.267764475733,914.0314075994339,546.2242812792192,3.6
52,9483.409911623536,861.8127630492506,469.6403348046426,3.6
53,3408.962902235462,956.6234958187931,525.2196238536148,3.6
54,-2678.4530395771476,986.4149075568341,584.7969472304944,3.6
55,-4481.355313784676,883.1985587035851,561.0069159572274,3.6
56,-7912.813642575754,880.6595752473934,508.76854719587556,3.6
57,-11473.569254359365,750.9420871003281,432.5755985905722,3.6
58,-14733.402445980979,833.815515844671,445.2794725473902,3.6
59,-19048.983415624323,782.886757317384,464.6272179365447,3.6
60,-21612.053173501346,403.20702993068016,183.6270489538336,3.59
61,-18734.659134346264,295.46042021000784,204.92212468482643,3.59
62,-15383.751461628834,310.8468877853031,295.7848437166293,3.59
63,-11563.786048442917,275.88397863026347,268.2199777752472,3.59
64,-6487.231618445421,401.9620549753331,382.866721971548,3.59
65,-2578.634251422565,341.9134501041608,370.49035591159117,3.59
66,-142.02811019451573,110.6468290889455,332.0223557841855,3.59
67,9419.785410825825,-171.87685183988128,189.95612021973994,3.59
68,18247.536757764738,-316.2412953852803,195.3056171640971,3.59
69,21003.652358827458,-623.2049591362905,119.93938481144701,3.59
70,23510.414364528166,212.5320340859274,285.5519613686463,3.58
71,18096.568202729803,-157.7684320363196,79.51626689072847,3.58
72,13200.812871421693,-229.39613637068783,0.636719335715518,3.58
73,10082.906553816072,-253.73810764693553,-69.7260389929397,3.58
74,6607.392192726856,-394.60770667215763,-80.1529321390728,3.58
75,1246.7500602088046,-520.5811262471143,-173.3027834399369,3.58
76,-4669.139874263481,-240.01069317140477,-52.73297172827606,3.58
77,-8252.374410708178,-4.7821900847519565,40.72380797466045,3.58
78,-11638.702433915638,154.97454975314713,96.50163163039693,3.58
79,-17425.983688345746,236.86351092649625,102.35964894878751,3.58
80,-25083.48909853012,137.68085510925937,-747.5664487087004,3.56
81,-18843.54211350587,-173.1839424400468,-841.0010425653815,3.56
82,-11171.040833693864,-139.1371774827268,-771.2578430636937,3.56
83,-5429.039683486159,-330.46600719556756,-839.3104458594636,3.56
84,-2038.6476573834118,-508.284892237249,-885.7385465097125,3.56
85,945.7193921679768,-446.33929312768055,-891.8083121505794,3.56
86,5918.764605024186,-479.69173743622963,-840.8647044110633,3.56
87,11711.790542288802,-314.3952045545311,-668.834085949753,3.56
88,14751.427609243574,-553.9229896387752,-802.8331231600584,3.56
89,20321.195734957906,-533.6633403059592,-726.5998870520485,3.56
90,5238.465901298581,359.4945097112092,-702.4532258605515,3.53
91,9843.825384079739,98.52741345462987,-779.8934910421108,3.53
92,14514.568036395038,47.093676109404456,-735.13693130421,3.53
93,19298.360952731553,-11.302873641409063,-798.6577922803535,3.53
94,22541.204851617924,-27.99711063190636,-730.2076408901391,3.53
95,1570.4920248919761,-131.65945978437276,-817.7226908590335,3.53
96,-4356.6473337059,38.634852685201814,-713.181512455083,3.53
97,-7828.562689032364,106.43153532972536,-658.1468675636058,3.53
98,-12860.652746620533,246.14687764985038,-557.3050651701046,3.53
99,-17479.791490868658,529.6803369463219,-416.8053383037369,3.53
100,-19279.85901436497,578.7656847022785,-931.3290663436055,3.52
101,-14630.6300738707,417.46171289772315,-1005.0995110259295,3.52
102,-11663.461194919768,192.6467292380108,-1001.7270279823899,3.52
103,-7945.101238989201,173.01008439925278,-975.9246756829499,3.52
104,-5175.675925009682,138.46339125444422,-971.8382845886788,3.52
105,-360.9863917004037,81.38863722342812,-1018.8259795855575,3.52
106,5599.726516845369,-162.157655639424,-1117.340434111264,3.52
107,11980.747663162327,-319.5631452640131,-1218.3930728710013,3.52
108,20553.790906644284,-425.37492263368125,-1306.5044384174478,3.52
109,26147.267134369216,-574.2764540678302,-1322.6799081826907,3.52
110,27245.92487057393,528.6771901849082,-1375.6680864023804,3.5
111,22140.075566060408,440.99372704506663,-1384.1664032873032,3.5
112,14116.490622353023,370.79041960722475,-1463.696067092571,3.5
113,15779.221000086005,333.94717553514687,-1453.6526174245162,3.5
114,6269.493992707936,98.3243525594541,-1521.3212766830218,3.5
115,-1094.9819346626446,222.40219284155222,-1454.9431722131058,3.5
116,-6044.711158417931,129.2230151825838,-1460.5323847797858,3.5
117,-10788.714356351391,171.8174137641781,-1481.9111989318926,3.5
118,-14370.415463236619,112.77882340945786,-1467.880623367714,3.5
119,-18396.538129482487,123.78456869452594,-1424.1740723445746,3.5
120,-3730.0012399278053,3825.628489043468,-40.68811802427857,3.48
121,-954.6808854868128,3878.169705516019,75.48112101783431,3.48
122,1914.0049147934276,3917.0638460676455,75.77274132179889,3.48
123,4583.365847041421,3759.547266980209,95.46846929407934,3.48
124,10595.374362947205,4189.383949300295,172.832826382288,3.48
125,16060.86366712711,4552.5185928198025,329.1466406504634,3.48
126,-4766.761181583824,3865.0701421961626,227.78058951366785,3.48
127,-9698.562059679116,4020.5469122731456,310.07386992241015,3.48
128,-15685.453744547991,3952.61114850131,265.3270038436302,3.48
129,-16864.136147961388,3795.7996879756784,151.1032851993292,3.48
